"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"31","4_128_3",0,0.188529418809873,0.0705673718198364,0.107747391975611,0.0558449767896742,0.0705673718198364,0.862119976222489,0.385184535437703,0.948626263997185,0.286449285793076,0.594527989051064,0.235597901300703,0.132080112174571,0.89732075331659,0.234125474907846,0.422338153396365,0.283578738801132,0.700782126397744,0.17995771050423,0.566439267219265,0.0296627435202597,0.624420202107934,0.810323412438904,0.12702048922013,2,30,FALSE
"32","4_128_4",0,0.179592156978452,0.070143119769972,0.109037900159466,0.0561784756737426,0.070143119769972,0.916229468203712,0.348349634380707,0.796550072801175,0,0.625521465597414,0.316952182146138,0.348278929973125,0.915529258593876,0.185665528579979,0.565357911125621,0.696769596103726,0.922458490564033,0.32227882363799,0.673384380117527,0.0289587129272528,0.843990845113236,0.0120737738361762,0.254891518598932,3,41,FALSE
"33","4_128_5",0,0.168885961302934,0.0756017285479845,0.105073650195236,0.055891999123835,0.0756017285479845,0.847481882082973,0.230512803123332,0.402091006469158,0.369773516150143,0.188361137038826,0.609903958631166,0.600993889951886,0.739343658920034,0.0551601135724697,0.763614890998291,0.587646631368212,0.872632651429947,0.684377130293319,0.746579736561526,0.0516157779919722,0.273857051451616,0.250570019774571,0.203272950012785,2,30,FALSE
"34","4_128_8",0,0.172933633010577,0.0770791768114712,0.111727481109482,0.055197701310115,0.0770791768114712,0.761788372762667,0.174296767842992,0.891259272451946,0.172593391225988,0.329510054597113,0.411792707770147,0.349146765680876,0.815964183292414,0.0800939913212079,0.528568817379861,0.64817059992356,0.720047325776195,0.820157960335964,0.791689188309404,0.0370141835195036,0.724830293571161,0.280907724788462,0.151850359032756,3,41,FALSE
"35","4_128_12",0,0.181406902629415,0.0707120055893745,0.110186374131409,0.0558762380988893,0.0707120055893745,0.881092594066931,0.27642497966627,0.940512548081601,0.427717533397505,0.477493277910118,0.359740740243943,0.856920922349395,0.994538987030603,0.16138691800181,0.604759597465841,0.889974345308544,0.819276086806697,0.0518540756428484,0.611215610037566,0.0328534713468999,0.574151010349791,0.103837124168913,0.180662622734587,3,41,FALSE
"36","4_128_14",0,0.195914893370354,0.0709888954609068,0.102511107513532,0.0557298974120824,0.0709888954609068,0.959796166424702,0.205061105246056,0.698998961114189,0.466010487168201,0.0323605291669585,0.643035185336227,0.489172686084961,0.635621761912759,0.0748335582229023,0.575081904029073,0.139383583487865,0.922443798414616,0.424018764152805,0.78897480716508,0.0297304353584468,0.881708418539593,0.135989680063737,0.17056632329672,3,41,FALSE
"37","4_129_1",0,0.177748097205242,0.0703524700187088,0.105151181278806,0.0552517048187935,0.0703524700187088,0.813567638742272,0.105228379737081,0.933442740768437,0.0708270989787314,0.203794236992876,0.588549139215755,0.759571155859726,0.698017503893943,0.0213241088100702,0.551667342801611,0.813138825812715,0.753648409652359,0.73397755462956,0.771569058658119,0.0368030237578564,0.766999238060014,0.333325680174394,0.144893112733553,3,41,FALSE
"38","4_129_7",0,0.249112390671153,0.0697322477446551,0.108860178182502,0.0552465188558611,0.0697322477446551,0.902211519729758,0.2090231960448,0.534857636646586,0.304303462130905,0.317598931152645,0.581022290329663,0.313659897685855,0.982968495555879,0.103488796063882,0.784754885341977,0.192107212619604,0.748673268926803,0.320979551880948,0.674457928532022,0.0363154392981637,0.663295146292377,0.2847429275783,0.137234189763526,2,30,FALSE
"39","4_129_8",0,0.201578211254146,0.0700503297990367,0.112572209097188,0.0555219899827371,0.0700503297990367,0.896460331787653,0.472915607961212,0.791654547399919,0.409510808398067,0.82762996250806,0.351818943544294,0.322032720890841,0.946524552790304,0.358038508072668,0.919756540871449,0.835325983033489,0.744619110695023,0.28575499630309,0.902428823909453,0.0504120171650538,0.700159563998141,0.372183090833854,0.297244611736049,2,30,FALSE
"40","4_129_9",0,0.180566340864293,0.0737356978750357,0.114076038598853,0.0565845323547214,0.0737356978750357,0.713690753875521,0.324131508873026,0.925970458492642,0.47591658461066,0.417279161191597,0.619688673562533,0.702791114338342,0.982904121244162,0.171786266688028,0.296986871920077,0.653347450732072,0.916641293874272,0.864547448918308,0.862304269511,0.012168487611977,1,0.314232756861368,0.157375688168653,3,41,FALSE
"41","4_129_10",0,0.193638494682432,0.0697461528717949,0.10948597707115,0.0553881151015654,0.0697461528717949,0.897390109971098,0.29314313476662,0.831063413629068,0.108044088903503,0.632958015618121,0.554591820611272,0.279247322184862,1,0.306712341356399,0.533892726400652,0.77051410243204,0.804960318824075,0.281359811165495,0.653664041881408,0.0262452145130266,0.73757323759553,0.0620461077079771,0.215446468983834,3,41,FALSE
"42","4_129_11",0,0.188545001630329,0.0698879990269937,0.106634528714788,0.0552904154412194,0.0698879990269937,0.893236348020034,0.496151497496832,0.873226335442504,0.106674014904442,0.398479299091048,0.508914921631646,0.826008765672605,0.797991214463077,0.242031079297461,0.482379094425942,0.680822610563653,0.660416665969947,0.287351404480549,0.715478124401047,0.0241263617408743,0.798008604696,0.304745582348728,0.130895760861524,3,41,FALSE
"43","4_129_12",0,0.193392119691928,0.0727259507395061,0.101413091030299,0.0555789573429174,0.0727259507395061,0.948677072170618,0.456141844897476,0.464181362646842,0.496005457554664,0.333338261266477,0.70074833230529,0.372647290277633,0.475575030146758,0.171363310931688,0.882864272384823,0.551293728432443,0.855885623409146,0.195001398586603,0.679310533536017,0.00990356276876644,0.306263753599245,0.42018966702716,0.114390794696854,2,30,FALSE
"44","4_129_13",0,0.230204922540255,0.0700839372817982,0.108332439732815,0.0554288749289975,0.0700839372817982,0.990289703936715,0.0858191485963063,0.832172342026483,0.516986300775718,0.368027505555185,0.202759460088978,0.315832262820144,0.887608922372124,0.277764784914307,0.847267751852924,0.647423341044503,0.257187811035794,0.665592180177521,0.630538152667825,0.01440085208167,0.681900469312592,0.522308634906419,0.094568654314983,2,30,FALSE
"45","4_130_1",0,0.18417461347883,0.0720896998516469,0.105663838498528,0.0557549071162593,0.0720896998516469,0.826113509369312,0.0298742256133971,0.840935202000387,0.624415579095169,0.445200054695276,0.559170711742485,0.455564822408574,0.702561132349434,0.00791845775841036,0.683007602399932,1,0.567790912330294,0.633617094671902,0.73922478464529,0.037148047667349,0.449362362410938,0.110019779003268,0.339023741133353,3,41,FALSE
"46","4_130_2",0,0.166654609438072,0.0744486823747681,0.104190242249103,0.0557643622597407,0.0744486823747681,0.910978475568326,0.297505777403836,0.976391686881241,0.155079724859309,0.131957615333357,0.588639264985587,0.318790727251864,0.828655848203585,0.113611865210078,0.417936591207483,0.520347288429349,0.986701920287821,0.268210752865834,0.664809466180545,0.050658894154882,0.690454804534841,0.0800102090125561,0.126648306859152,3,41,FALSE
"47","4_130_3",0,0.185931735442983,0.0708429474741498,0.10582053066234,0.0558629149724846,0.0708429474741498,0.855482724644585,0.426182238099049,0.90239923207201,0.286449285793076,0.594527989051064,0.235597901300703,0.132080112174571,0.809835260625057,0.275682035745807,0.356359762770762,0.283578738801132,0.700782126397744,0.17995771050423,0.543746745208403,0.0313317012953537,0.789363340047982,0.810323412438904,0.12702048922013,2,30,FALSE
"48","4_130_4",0,0.230232836795897,0.0702571675422541,0.10994410961316,0.0561917555596636,0.0702571675422541,0.916229468203712,0.348349634380707,0.796550072801175,0.131764614464753,0.361565279281515,0.316952182146138,0.348278929973125,0.915529258593876,0.185665528579979,0.531423799586298,0.830241508069767,0.720421501302052,0.32227882363799,0.673384380117527,0.0289587129272528,0.70958213051108,0.257652861009982,0.254891518598932,3,41,FALSE
"49","4_130_6",0,0.162638846186812,0.0749629751238754,0.0997317661353766,0.0558508544058507,0.0749629751238754,0.875478421002343,0.0137170802279688,0.425508824728616,0.248887047722446,0.126994836278631,0.719316906858623,0.820873164974187,0.430674567681336,0.0386369420931463,0.847663254813036,0.484976274739339,0.961607648413212,0.816885366162226,0.885770482532998,0.0357886129551683,0.63214528889908,0.203263067264425,0.19095008171313,3,41,TRUE
"50","4_130_8",0,0.183168065424156,0.0769117868157176,0.111386011954613,0.0551021514197306,0.0769117868157176,0.761788372762667,0.174296767842992,0.750647266576377,0.224863115460337,0.108861952812354,0.411792707770147,0.349146765680876,0.815964183292414,0.0800939913212079,0.69350772317883,0.557055847986674,0.728739620175704,0.820157960335964,0.791689188309404,0.0374626336654101,0.634870111158699,0.503573770332968,0.0788244057516241,3,41,FALSE
"51","4_130_9",0,0.161165128917858,0.0800703633485633,0.0999689690044839,0.0568569791850227,0.0800703633485633,0.967643912443071,0.571403147383514,0.446941913687371,0.551977191692878,0.605801209543167,0.346579465793791,0.398302257093254,0.383452562896903,0.393402520746778,0.781498471439923,0.452118050625144,0.692882239098877,0.215478755036499,0.828331177355802,0.0215088324539583,0.377516927494937,0.0905414176391573,0.239375992296581,2,30,TRUE
"52","4_130_14",0,0.2096648210828,0.0701106894352185,0.105303039983027,0.0554021068801582,0.0701106894352185,0.906548311680825,0.437933418937168,0.578601597578612,0.167103447491912,0.185127028524198,0.535738974407004,0.75864154970924,0.765517323870531,0.208591575018385,0.748433017912606,0.417907930481582,0.899722774919066,0.314684876437091,0.730177460902587,0.0252471764684963,0.689371672608805,0.237988375297934,0.17056632329672,3,41,FALSE
"53","4_130_15",0,0.192767329593238,0.0755445337415429,0.101946387446672,0.0548900578257074,0.0755445337415429,0.962872225536302,0.266490128516463,0.54850225654859,0.326292583378365,0.243127967086024,0.599089927920079,0.47701416377554,0.565958114257951,0.094818265406201,0.965121910227047,0.487539016985457,0.835674768863745,0.369541365526364,0.759805357320954,0.0250587849990506,0.641287486168113,0.340337133068296,0.178479528667847,2,30,FALSE
"54","4_131_2",0,0.144159612466653,0.0764791566781853,0.104672253047805,0.0546874978806013,0.0764791566781853,0.916758451564325,0.233783154927563,0.858578638663235,0.137610472376657,0.276377608982911,0.667999192843173,0.754704017761296,0.578006993052386,0.0364361073815762,0.499211956528687,0.683052063950248,0.804622210230112,0.573242632656814,0.769253485250793,0.0338141461802073,0.76753269891305,0.358749039876456,0.149126695548511,3,41,FALSE
"55","4_131_8",0,0.192291490289405,0.0699826318353267,0.11122073700571,0.0554979834070715,0.0699826318353267,0.78022133222875,0.249231448943604,0.791654547399919,0.409510808398067,0.82762996250806,0.351818943544294,0.504123177654196,0.974003904510882,0.358038508072668,0.919756540871449,0.835325983033489,0.744619110695023,0.530205880596508,0.689492399378915,0.0504120171650538,0.700159563998141,0.372183090833854,0.297244611736049,2,30,FALSE
"56","4_131_14",0,0.161355928984696,0.0751986414467301,0.103018537298371,0.0549114510795402,0.0751986414467301,0.839329513589013,0.246256270137828,0.88421894312506,0.102109349600459,0.175761917842179,0.735453429201384,0.66749176562088,0.559217088462582,0.0421068750260868,0.595126688053588,0.792470983847451,0.785214988595112,0.670108710407332,0.808509225357251,0.0373613860223451,0.755253233904943,0.267183797901497,0.129814273551446,3,41,FALSE
"57","4_131_15",0,0.16558268709347,0.0783878252128203,0.0997884814988449,0.0558921953459345,0.0783878252128203,0.846697291392169,0.394204687907582,0.140789458314381,0.05004975252489,0.208590114434028,0.599871069817607,0.577334605339816,0,0.0517404396395571,0.715450600901665,0.358370690576781,0.908308743406204,0.781968697458774,0.60388751336838,0.00800982663344587,0.320286748009232,0.216272433923136,0.139963261262703,2,30,FALSE
"58","4_132_2",0,0.17405556457346,0.0743252434964578,0.105493631714973,0.0549078332216261,0.0743252434964578,0.910978475568326,0.297505777403836,0.976391686881241,0.0523141734027772,0.122398078215093,0.716502529412223,0.318790727251864,0.828655848203585,0.113611865210078,0.549210922665758,0.762794821383162,0.849687767917496,0.268210752865834,0.664809466180545,0.050658894154882,0.798831750918612,0.249262615375036,0.134826937880776,3,41,FALSE
"59","4_132_3",0,0.2082970174803,0.0695020645160121,0.107431331248868,0.055309578399226,0.0695020645160121,0.890336083221376,0.385184535437703,0.900420646088627,0.00159001182561029,0.399969563097567,0.480381103695158,0.24981388022864,0.939530875787112,0.234125474907846,0.513297594154999,0.722854760190576,0.651910835608585,0.261079391077423,0.566439267219265,0.0296627435202597,0.800146134838105,0.397789253439802,0.121716435678867,3,41,FALSE
